Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Overall_Impact
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,Negative
53,23,Male,Graduate,Other,6.2,YouTube,No,5.9,5.6,Negative
53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Positive
54,21,Male,Graduate,Canada,3.8,YouTube,Yes,9,8.5,Positive
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Negative
55,18,Female,Graduate,Other,7,Snapchat,Yes,4.8,4.4,Negative
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,Positive
56,19,Male,High School,Australia,5.7,YouTube,Yes,6,5.8,Negative
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Negative
57,23,Male,High School,Other,3.4,Instagram,No,8.4,7.3,Positive
57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Negative
58,20,Female,High School,Other,8.2,Instagram,Yes,5.8,4.9,Negative
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7,8,Positive
59,20,Male,Undergraduate,Other,8.1,Twitter,Yes,4.6,4.7,Negative
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Negative
60,23,Male,High School,Other,3.5,Snapchat,No,7,6,Neutral
60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Negative
61,19,Male,Undergraduate,Other,8.1,Snapchat,Yes,5.2,5,Negative
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Positive
62,18,Male,Graduate,UK,6.3,Snapchat,Yes,5.8,5.6,Negative
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,Negative
63,23,Female,Graduate,Other,3.6,Snapchat,No,8.4,8.4,Positive
63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6,6,Negative
64,20,Male,Undergraduate,Other,8.1,TikTok,No,4.5,5.7,Negative
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Negative
65,22,Female,Graduate,Other,3.5,Instagram,Yes,8.7,8,Positive
65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,Neutral
66,23,Male,Undergraduate,India,1.8,Instagram,No,7.8,7,Positive
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Negative
67,22,Female,Undergraduate,Other,3.9,Instagram,No,7.7,8.3,Positive
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Negative
68,19,Female,Graduate,Other,5.4,LinkedIn,No,7.1,6.5,Neutral
68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,Negative
69,22,Female,Graduate,India,8.4,Instagram,No,6,5.5,Negative
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Positive
70,19,Female,Undergraduate,Other,2.3,Facebook,No,8,8.5,Positive
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Negative
71,22,Male,Undergraduate,Other,6.8,Facebook,Yes,5.2,4.3,Negative
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Negative
72,21,Male,High School,Other,3.1,Snapchat,Yes,7.5,8.9,Positive
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,Positive
73,18,Female,Undergraduate,Canada,3.1,Snapchat,No,7.8,7.5,Positive
73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Negative
74,21,Female,Graduate,Other,2,LinkedIn,No,8.7,8.4,Positive
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Negative
75,19,Female,Graduate,Other,6.1,Facebook,Yes,4.6,4.3,Negative
75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,Positive
76,18,Female,Undergraduate,Other,5.6,LinkedIn,Yes,5.9,5.2,Negative
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Negative
77,24,Female,Undergraduate,Germany,3.2,TikTok,No,7.9,7.4,Positive
77,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Negative
78,19,Female,Undergraduate,Other,7.9,Twitter,No,5,4.9,Negative
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7,7,Positive
79,18,Female,Graduate,Other,3.3,Instagram,No,8.3,8.5,Positive
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Negative
80,23,Female,High School,Other,6.2,TikTok,Yes,6,4.3,Negative
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Negative
81,18,Male,Undergraduate,Other,2.3,TikTok,No,8,7.2,Positive
81,21,Male,Graduate,Georgia,3,LinkedIn,No,7.1,8,Positive
82,19,Male,High School,Other,8.4,Snapchat,Yes,4.8,5.4,Negative
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Negative
83,18,Female,Undergraduate,Other,7.6,Facebook,No,4.5,5.9,Negative
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Negative
84,21,Female,Undergraduate,Other,6.5,Twitter,Yes,5.7,4.2,Negative
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,Positive
85,23,Female,Graduate,Other,7.4,Instagram,No,5.3,5.5,Negative
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Negative
86,22,Male,High School,Other,3.7,YouTube,No,7.4,9,Positive
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Negative
87,18,Male,Graduate,USA,3.9,YouTube,Yes,6,6.7,Neutral
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,Negative
88,21,Male,Undergraduate,Other,3.2,TikTok,No,7.1,7.1,Positive
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Positive
89,23,Female,Undergraduate,Other,5.4,Instagram,No,6.6,6.3,Neutral
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6,6,Negative
90,19,Female,Undergraduate,Other,6.8,YouTube,Yes,5.6,5,Negative
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Negative
91,22,Male,High School,USA,7.3,Facebook,Yes,5.9,4.4,Negative
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7,7,Positive
92,24,Male,High School,India,8.2,Instagram,Yes,4.8,4.5,Negative
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Negative
93,18,Female,Undergraduate,USA,2.1,Instagram,No,8.7,7.9,Positive
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Negative
94,24,Male,High School,Canada,6.7,Twitter,Yes,6,4.5,Negative
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,Negative
95,22,Female,Undergraduate,UK,4.1,Snapchat,No,6.1,6.2,Neutral
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Positive
96,21,Female,High School,Other,6.2,Twitter,No,5.4,5.4,Negative
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Negative
97,21,Male,Graduate,Other,5.2,YouTube,No,6.7,6.8,Neutral
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,Negative
98,21,Female,High School,Other,5.8,YouTube,Yes,4.9,4.1,Negative
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Positive
99,23,Female,Undergraduate,Other,6.9,TikTok,Yes,5.9,4.6,Negative
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Negative
100,22,Male,Graduate,Other,5.9,Twitter,No,6,7,Neutral
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,Negative
101,23,Male,Undergraduate,Canada,2.8,Twitter,Yes,7.7,8.1,Positive
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Negative
102,23,Male,Graduate,UK,6,TikTok,No,4.8,5.5,Negative
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Positive
103,19,Female,High School,Other,5.2,Twitter,No,7.5,6.4,Neutral
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,Negative
104,18,Male,Graduate,Other,7.2,LinkedIn,Yes,4.5,5.9,Negative
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Negative
105,19,Female,Undergraduate,Germany,2.5,Instagram,No,8.3,7.2,Positive
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7,7,Positive
106,18,Male,Undergraduate,Other,2.5,LinkedIn,No,8.7,8.6,Positive
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,Negative
107,24,Male,High School,Other,3.8,LinkedIn,No,7.9,8.8,Positive
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Negative
108,19,Male,Graduate,Other,4.9,Facebook,No,6,6.3,Neutral
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Negative
109,23,Female,Graduate,Other,7.1,LinkedIn,Yes,5.4,5.1,Negative
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,Positive
110,19,Female,Undergraduate,Other,5.1,Snapchat,Yes,7.1,6.5,Neutral
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Negative
111,24,Female,Graduate,Other,3.5,Twitter,No,7.2,7.3,Positive
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Negative
112,22,Male,Graduate,India,5.5,Twitter,Yes,7.1,7,Neutral
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,Negative
113,24,Female,High School,Other,3.7,YouTube,Yes,7.4,6.7,Neutral
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Positive
114,23,Male,High School,Other,3.8,YouTube,No,6.7,6.3,Neutral
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6,5,Negative
115,22,Female,Undergraduate,USA,7.2,YouTube,Yes,4.6,5.4,Negative
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,Negative
116,24,Female,High School,Other,5.9,TikTok,No,5.8,5.6,Negative
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Positive
117,21,Female,High School,Other,8.3,YouTube,Yes,5.1,4.2,Negative
117,21,Male,Graduate,Bangladesh,6,Facebook,Yes,5.8,5,Negative
118,18,Female,High School,Other,3.5,TikTok,No,7,6.5,Neutral
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Negative
119,20,Male,Undergraduate,Other,2.4,Facebook,No,8.8,8.5,Positive
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Positive
120,18,Male,Undergraduate,UK,6.8,Instagram,Yes,5.5,4.2,Negative
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,Negative
121,23,Female,High School,Other,5.3,Facebook,Yes,7.3,6.2,Neutral
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Negative
122,18,Female,High School,Other,6.1,YouTube,Yes,5.5,4.5,Negative
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,Positive
123,18,Male,Graduate,Other,3,Facebook,No,8.4,7.9,Positive
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Negative
124,22,Female,High School,Other,8,YouTube,Yes,5.4,4.7,Negative
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,Negative
125,22,Male,Undergraduate,Other,6.7,Facebook,Yes,5.1,4.7,Negative
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Positive
126,23,Female,High School,Other,2.1,LinkedIn,No,8.1,8.8,Positive
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,Negative
127,19,Male,Undergraduate,Other,3.2,LinkedIn,No,9,8.3,Positive
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Negative
128,18,Male,Undergraduate,USA,7.2,Instagram,Yes,5.9,4.4,Negative
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,Positive
129,21,Male,Undergraduate,Canada,5.6,Facebook,No,6,6.3,Neutral
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Negative
130,21,Male,High School,Other,5.9,Facebook,No,6,6.7,Neutral
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,Negative
131,21,Female,Undergraduate,India,3.1,Facebook,Yes,7.2,8.5,Positive
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Positive
132,19,Male,High School,Other,4.3,YouTube,Yes,6.4,6.4,Neutral
132,20,Female,Undergraduate,Pakistan,5,Instagram,Yes,6.6,5,Negative
133,23,Male,Undergraduate,Other,8,LinkedIn,Yes,4.9,5.9,Negative
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Negative
134,19,Female,Undergraduate,Other,4.9,LinkedIn,Yes,6.6,6.5,Neutral
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,Positive
135,21,Female,High School,Germany,3.7,YouTube,No,8.7,8.6,Positive
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Negative
136,19,Male,Undergraduate,USA,6,LinkedIn,Yes,5.5,4.7,Negative
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,Negative
137,23,Male,Graduate,Other,6.4,LinkedIn,Yes,5.4,4.3,Negative
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Positive
138,18,Male,High School,Other,5.9,Facebook,No,5.1,4.1,Negative
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,Negative
139,23,Female,High School,India,6.4,TikTok,No,5.3,4.9,Negative
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Negative
140,19,Male,Undergraduate,Other,7.5,TikTok,Yes,4.7,4.1,Negative
140,20,Female,Undergraduate,Maldives,4,Instagram,No,8,8,Positive
141,20,Male,High School,Other,5.7,LinkedIn,Yes,5.5,6,Negative
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Negative
142,24,Female,High School,Canada,5.8,Facebook,Yes,5.5,4.1,Negative
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,Negative
143,24,Male,Graduate,Other,2.3,Snapchat,No,8.2,8.1,Positive
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Positive
144,22,Female,High School,India,6.6,TikTok,No,5.3,5,Negative
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7,5,Negative
145,19,Male,Undergraduate,UK,3.8,Snapchat,Yes,6.6,6.8,Neutral
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Negative
146,22,Female,High School,Other,4,Facebook,Yes,6,6.2,Neutral
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,Positive
147,21,Female,Graduate,UK,4.4,LinkedIn,Yes,6.4,6.6,Neutral
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Negative
148,18,Male,High School,Other,6,Snapchat,Yes,5,5.5,Negative
148,20,Female,Undergraduate,India,5,Instagram,Yes,5,6,Negative
149,18,Male,High School,Other,5.9,Snapchat,No,6.2,6.1,Neutral
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Positive
150,21,Male,Graduate,Other,6.3,YouTube,Yes,5.9,4.5,Negative
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,Negative
151,22,Male,High School,Other,2.6,Instagram,No,7.5,8.8,Positive
151,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Negative
152,18,Male,Graduate,India,6.8,Instagram,Yes,4.6,4.1,Negative
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,Positive
153,21,Male,Graduate,Other,5.9,YouTube,No,7.1,6.4,Neutral
153,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Negative
154,19,Female,Graduate,USA,6.1,Facebook,Yes,4.8,4.2,Negative
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,Negative
155,19,Male,Undergraduate,India,5.7,Facebook,Yes,7.2,6.2,Neutral
155,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Positive
156,23,Male,Undergraduate,Germany,7.3,Facebook,Yes,5.7,5.3,Negative
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,Negative
157,24,Female,Undergraduate,USA,6.4,Twitter,Yes,6,5.2,Negative
157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Negative
158,23,Female,Undergraduate,Other,1.8,LinkedIn,No,8.2,7.2,Positive
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,Positive
159,18,Female,High School,Australia,6.3,LinkedIn,Yes,5.9,5.4,Negative
159,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Negative
160,22,Male,Undergraduate,Other,5.7,LinkedIn,No,7.3,6.9,Neutral
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,Negative
161,23,Female,Graduate,Australia,3.3,Facebook,Yes,8.6,8.3,Positive
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Negative
162,21,Male,Undergraduate,Canada,3.6,YouTube,Yes,6.2,6.1,Neutral
162,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,Negative
163,18,Female,Graduate,Germany,1.9,YouTube,No,7.7,7.8,Positive
163,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Negative
164,22,Male,Undergraduate,Other,1.9,Instagram,No,7.2,8.2,Positive
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,Negative
165,19,Female,Graduate,Germany,5.4,Snapchat,Yes,7.3,6.3,Neutral
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7,7,Positive
166,22,Male,Undergraduate,Other,3.3,TikTok,No,8.2,7.4,Positive
166,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6,6,Negative
167,18,Female,Graduate,Other,5.6,Twitter,Yes,5.6,4.4,Negative
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Negative
168,22,Female,Undergraduate,Other,2.3,YouTube,No,8.8,9,Positive
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,Negative
169,19,Female,Undergraduate,Other,5.9,Instagram,No,5.5,4,Negative
169,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Negative
170,20,Female,High School,Other,6.7,Twitter,Yes,5.1,5.7,Negative
170,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,Negative
171,20,Male,Graduate,Other,7.6,LinkedIn,Yes,4.6,5,Negative
171,20,Female,Undergraduate,Sri Lanka,5,Facebook,No,7.3,7,Positive
172,22,Male,Graduate,Other,1.9,Facebook,No,8.4,8.5,Positive
172,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,Negative
173,18,Male,Graduate,Other,5.9,Instagram,Yes,5.6,4.5,Negative
173,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Negative
